zeta1,zeta2,model,overall_mse,pre_mse,post_mse,recovery_steps
0.1,1.2,LTC,0.16657686,0.2433981,0.092768215,0
0.1,1.2,NODE,1.4693055,0.65683573,2.2499132,51
0.1,1.2,CTRNN,0.14893366,0.23745453,0.06388421,51
1.2,0.1,LTC,0.088248014,0.08791212,0.08857071,51
1.2,0.1,NODE,0.023591971,0.045041624,0.0029834693,0
1.2,0.1,CTRNN,0.056380186,0.06848562,0.044749483,51
0.3,0.8,LTC,0.05629511,0.09553429,0.018594747,51
0.3,0.8,NODE,0.09553691,0.11431044,0.07749957,51
0.3,0.8,CTRNN,0.03294753,0.064739786,0.0024020236,0
0.8,0.3,LTC,0.044278875,0.0644884,0.02486186,51
0.8,0.3,NODE,0.041320663,0.06379884,0.019723972,0
0.8,0.3,CTRNN,0.09812011,0.104671374,0.09182574,51
